Date,VIX
28/05/1991,15.67000008
29/05/1991,15.89999962
30/05/1991,16.02000046
31/05/1991,15.93000031
3/06/1991,16.87000084
4/06/1991,16.17000008
5/06/1991,16.39999962
6/06/1991,16.93000031
7/06/1991,16.97999954
10/06/1991,17.46999931
11/06/1991,17.31999969
12/06/1991,17.71999931
13/06/1991,16.98999977
14/06/1991,15.97999954
17/06/1991,15.5
18/06/1991,16.13999939
19/06/1991,17.44000053
20/06/1991,16.75
21/06/1991,16.51000023
24/06/1991,18.28000069
25/06/1991,17.85000038
26/06/1991,17.97999954
27/06/1991,17.87000084
28/06/1991,19.54999924
1/07/1991,18.63999939
2/07/1991,17.62999916
3/07/1991,19.46999931
5/07/1991,18.35000038
8/07/1991,20.29000092
9/07/1991,19.76000023
10/07/1991,19.19000053
11/07/1991,17.38999939
12/07/1991,18.29000092
15/07/1991,17.78000069
16/07/1991,17.48999977
17/07/1991,17.52000046
18/07/1991,15.77000046
19/07/1991,15.5
22/07/1991,16.89999962
23/07/1991,16.57999992
24/07/1991,16.40999985
25/07/1991,15.73999977
26/07/1991,15.44999981
29/07/1991,15.67000008
30/07/1991,15.47000027
31/07/1991,15.18000031
1/08/1991,15.47000027
2/08/1991,15.26000023
5/08/1991,15.92000008
6/08/1991,15.53999996
7/08/1991,15.56000042
8/08/1991,15.97999954
9/08/1991,15.44999981
12/08/1991,15.26000023
13/08/1991,14.72999954
14/08/1991,15.09000015
15/08/1991,15.18999958
16/08/1991,16.01000023
19/08/1991,21.19000053
20/08/1991,18.86000061
21/08/1991,15.61999989
22/08/1991,14.59000015
23/08/1991,14.40999985
26/08/1991,14.81000042
27/08/1991,15.46000004
28/08/1991,15.31000042
29/08/1991,14.81999969
30/08/1991,14.46000004
3/09/1991,16.56999969
4/09/1991,17.18000031
5/09/1991,17.30999947
6/09/1991,16.76000023
9/09/1991,17.72999954
10/09/1991,18.21999931
11/09/1991,17.95999908
12/09/1991,16.20999908
13/09/1991,17.87999916
16/09/1991,17.81999969
17/09/1991,17.68000031
18/09/1991,17.55999947
19/09/1991,17.55999947
20/09/1991,17.07999992
23/09/1991,16.37999916
24/09/1991,16.04000092
25/09/1991,15.68000031
26/09/1991,15.35000038
27/09/1991,16.30999947
30/09/1991,15.85000038
1/10/1991,14.81000042
2/10/1991,15.81000042
3/10/1991,17.04000092
4/10/1991,15.63000011
7/10/1991,18.57999992
8/10/1991,17.80999947
9/10/1991,18.54000092
10/10/1991,17.79999924
11/10/1991,17.60000038
14/10/1991,16.70999908
15/10/1991,16.21999931
16/10/1991,14.85000038
17/10/1991,16.31999969
18/10/1991,15.86999989
21/10/1991,16.65999985
22/10/1991,16.54999924
23/10/1991,16.26000023
24/10/1991,15.61999989
25/10/1991,15.75
28/10/1991,15.44999981
29/10/1991,15.55000019
30/10/1991,15.46000004
31/10/1991,15.47999954
1/11/1991,15.60000038
4/11/1991,16.35000038
5/11/1991,16.47999954
6/11/1991,16.46999931
7/11/1991,15.97000027
8/11/1991,15.43000031
11/11/1991,14.89000034
12/11/1991,14.03999996
13/11/1991,13.94999981
14/11/1991,13.96000004
15/11/1991,21.18000031
18/11/1991,18.28000069
19/11/1991,20.34000015
20/11/1991,20.39999962
21/11/1991,19.11000061
22/11/1991,21.20000076
25/11/1991,21.92000008
26/11/1991,19.79999924
27/11/1991,19.84000015
29/11/1991,20.26000023
2/12/1991,20.18000031
3/12/1991,19.70000076
4/12/1991,19.54000092
5/12/1991,20.19000053
6/12/1991,19.04000092
9/12/1991,19.73999977
10/12/1991,19.88999939
11/12/1991,20.56999969
12/12/1991,19.07999992
13/12/1991,17.87999916
16/12/1991,17.62000084
17/12/1991,18.12000084
18/12/1991,17.78000069
19/12/1991,17.95999908
20/12/1991,17.64999962
23/12/1991,16.61000061
24/12/1991,15.67000008
26/12/1991,15.43999958
27/12/1991,15.69999981
30/12/1991,17.62999916
31/12/1991,19.30999947
2/01/1992,18.95000076
3/01/1992,18.75
6/01/1992,18.95999908
7/01/1992,19.22999954
8/01/1992,18.71999931
9/01/1992,18.95999908
10/01/1992,18.45000076
13/01/1992,18.01000023
14/01/1992,17.01000023
15/01/1992,17.38999939
16/01/1992,17.63999939
17/01/1992,16.31999969
20/01/1992,16.42000008
21/01/1992,17.92000008
22/01/1992,16.75
23/01/1992,16.45999908
24/01/1992,16.23999977
27/01/1992,16.67000008
28/01/1992,17.67000008
29/01/1992,17.62000084
30/01/1992,17.48999977
31/01/1992,17.39999962
3/02/1992,18.20000076
4/02/1992,17.95999908
5/02/1992,18.21999931
6/02/1992,18.79000092
7/02/1992,18.51000023
10/02/1992,18.55999947
11/02/1992,17.70000076
12/02/1992,17.37000084
13/02/1992,17.45000076
14/02/1992,17.03000069
18/02/1992,18.21999931
19/02/1992,17.15999985
20/02/1992,16.71999931
21/02/1992,16.87000084
24/02/1992,17.12999916
25/02/1992,16.35000038
26/02/1992,16.63999939
27/02/1992,16.51000023
28/02/1992,16.68000031
2/03/1992,16.87999916
3/03/1992,17.26000023
4/03/1992,17.88999939
5/03/1992,18.46999931
6/03/1992,19.75
9/03/1992,19.68000031
10/03/1992,18.68000031
11/03/1992,19.79000092
12/03/1992,19.71999931
13/03/1992,18.35000038
16/03/1992,18.45999908
17/03/1992,16.79000092
18/03/1992,16.69000053
19/03/1992,16.52000046
20/03/1992,16.81999969
23/03/1992,16.72999954
24/03/1992,16.31999969
25/03/1992,16.19000053
26/03/1992,16.29000092
27/03/1992,16.02000046
30/03/1992,15.97000027
31/03/1992,16.18000031
1/04/1992,16.47999954
2/04/1992,17.05999947
3/04/1992,16.71999931
6/04/1992,16.71999931
7/04/1992,18.80999947
8/04/1992,20.14999962
9/04/1992,17.88999939
10/04/1992,16.85000038
13/04/1992,16.98999977
