,Asset,Start,End,Annual Return,Annual Volatility,Skewness,Kurtosis,Sharpe Ratio,Sortino Ratio,Max Drawdown,Tail Ratio,VaR
13,EFNL,1993-02-28,2020-05-31,,,9.84937058954028,95.01010101010102,,inf,0.0,62151.051349381465,
14,EGPT,1993-02-28,2020-05-31,,,10.954825271144744,118.00819672131149,,inf,0.0,81964.1170910649,
15,EIDO,1993-02-28,2020-05-31,inf,,10.816192229803182,114.99619843363783,,inf,0.0,38303.36645896988,
16,EIRL,1993-02-28,2020-05-31,,,10.817033344380633,115.00827573371029,,inf,0.0,134551.15319759198,
17,EIS,1993-02-28,2020-05-31,,,11.958549098938558,141.00689655172408,,inf,0.0,218889.28492437876,
18,ENOR,1993-02-28,2020-05-31,inf,,9.84937058954028,95.01010101010102,,inf,0.0,23277.15255486772,
19,ENZL,1993-02-28,2020-05-31,,,7.226411725748265,51.76081923887276,,inf,0.0,101181.29200220937,
20,EPOL,1993-02-28,2020-05-31,inf,,10.817042264932896,115.0084033613446,,inf,0.0,47799.402304088966,
21,EPU,1993-02-28,2020-05-31,,,11.31404844906068,126.0076923076924,,inf,0.0,107308.7570917041,
22,ERUS,1993-02-28,2020-05-31,,,10.536073725888283,109.00884955741063,,inf,0.0,76896.617469151,
23,EWA,1993-02-28,2020-05-31,inf,,16.930132926135375,284.75258442424416,,inf,0.0,4462.1305682473885,
24,EWC,1993-02-28,2020-05-31,,,16.912892632864356,284.3531578985514,,inf,0.0,13702.270981617232,
25,EWD,1993-02-28,2020-05-31,,,16.837645681479323,282.5750337142737,,inf,0.0,23166.831058412456,
26,EWG,1993-02-28,2020-05-31,,,16.93869914812006,284.9473296115289,,inf,0.0,28065.73172999891,
27,EWH,1993-02-28,2020-05-31,,,16.941173520221522,285.0033937819958,,inf,0.0,7234.912857457256,
28,EWI,1993-02-28,2020-05-31,,,16.907233071503896,284.2208685687178,,inf,0.0,84043.88621151556,
29,EWJ,1993-02-28,2020-05-31,,,16.941176470587784,285.00346020760236,,inf,0.0,208188.68850091216,
30,EWK,1993-02-28,2020-05-31,inf,,16.93674017242301,284.90272673571735,,inf,0.0,6460.693713509391,
31,EWL,1993-02-28,2020-05-31,,,16.9378493120617,284.92799615734134,,inf,0.0,28459.879350182047,
32,EWN,1993-02-28,2020-05-31,,,16.940158424891603,284.9804475801976,,inf,0.0,21044.91977204231,
33,EWO,1993-02-28,2020-05-31,inf,,16.94116202662414,285.0031349372265,,inf,0.0,14793.48344161872,
34,EWP,1993-02-28,2020-05-31,,,16.180711192463885,265.95467653056556,,inf,0.0,32211.435740431083,
35,EWQ,1993-02-28,2020-05-31,,,16.64892504674323,277.9607069665128,,inf,0.0,22882.887527841183,
36,EWS,1993-02-28,2020-05-31,,,16.941176470567807,285.00346020715256,,inf,0.0,6315.015918564834,
37,EWT,1993-02-28,2020-05-31,,,15.362428248186275,234.00420168067208,,inf,0.0,54352.25330673634,
38,EWU,1993-02-28,2020-05-31,,,16.938132473944403,284.9344411686483,,inf,0.0,38188.245746567765,
39,EWW,1993-02-28,2020-05-31,,,16.93836665442439,284.93979507211924,,inf,0.0,117186.2358198277,
40,EWY,1993-02-28,2020-05-31,,,15.394934316457864,235.00406357543775,,inf,0.0,308647.9208702814,
41,EWZ,1993-02-28,2020-05-31,,,15.329846044720043,233.00419308125785,,inf,0.0,108460.70971788917,
42,EZA,1993-02-28,2020-05-31,,,8.561188178044471,78.74825419692263,,inf,0.0,281154.47518774425,
43,GREK,1993-02-28,2020-05-31,,,7.163846549419734,51.03949327570292,,inf,0.0,70347.96572744107,
44,GXC,1993-02-28,2020-05-31,,,12.450155397694889,153.00636942675143,,inf,0.0,1224061.3602756346,
45,ICOL,1993-02-28,2020-05-31,inf,,8.944953612062577,78.01219512195128,,inf,0.0,14363.767864248051,
46,KSA,1993-02-28,2020-05-31,,,7.281358514603013,51.018181818181766,,inf,0.0,351998.31863855786,
47,NGE,1993-02-28,2020-05-31,inf,,6.381833493679173,43.95225315723701,,inf,0.0,53145.64278587291,
48,PGAL,1993-02-28,2020-05-31,inf,,8.661003810923557,73.01298701288523,,inf,0.0,4383.8407171524,
49,PIN,1993-02-28,2020-05-31,inf,,6.142088858201692,36.704689769147514,,inf,0.0,20238.034531779344,
50,QAT,1993-02-28,2020-05-31,inf,,5.935911711077965,35.28818092449926,,inf,0.0,14404.644032589313,
51,SPY,1993-02-28,2020-05-31,-1.0,1.6281640922141183e+25,18.027841193664184,323.00305810397515,0.1912730139230622,1.3851787218789958e+24,-1.0,4191335.6854476444,-9.140689891681122e+24
