Date,MLPs,Internet,Gold Miners,Biotech,Software,Homebuilders,Regional Banks,Agriculture,Oil Services,Water Resources,Semiconductors,REITs,Metals & Mining,Oil & Gas E&P,Retail
23/04/2014,11.15725803,57.06000137,23.35670471,76.14629364,78.64569092,22.69143677,35.59632111,47.96156693,916.1188965,25.38804626,41.63945389,56.12080002,37.79245377,287.9966125,38.20567703
24/04/2014,11.09571838,56.93999863,23.03912544,75.69467163,78.38153839,23.24583626,34.95574951,47.78527069,914.5409546,25.33959389,41.95047379,56.35446548,37.7655983,288.9978333,38.27919769
25/04/2014,11.05263901,54.59999847,23.5395546,73.82884216,77.03129578,22.72061157,34.50200272,47.75001144,916.6449585,25.16516876,40.62408829,56.13636398,37.37183762,283.7324829,37.80587769
28/04/2014,11.08341026,53.54999924,23.08724403,73.53214264,76.08224487,22.71089554,34.24399948,47.91749573,908.0536499,25.20393753,40.51431656,56.57256699,36.8975296,283.1391602,38.17351151
29/04/2014,11.163414,54.77000046,23.39520073,75.51995087,76.82583618,22.74006844,34.0304718,47.97038269,909.9822998,25.04889297,40.68811417,56.61151123,37.43448639,286.8471375,38.33434677
30/04/2014,11.14495277,54.88000107,23.20272636,75.90233612,77.61837006,22.7497921,34.24399948,48.19075012,913.8397217,25.10702896,40.86191559,56.81402588,37.53292084,287.7741394,38.38030624
1/05/2014,11.20033741,55.65999985,22.89476967,76.64408875,77.79447937,22.96376991,34.1194458,48.08498001,905.774231,25.06826782,40.56005096,57.05547714,37.53292084,284.6594543,38.39867783
2/05/2014,11.24341393,55.34999847,23.40482521,75.50675964,77.74554443,23.29446602,34.29738235,48.22600937,912.7875977,25.0876503,40.62408829,57.0398941,37.97143173,286.5504456,38.59168625
5/05/2014,11.32341671,55.58000183,23.49143791,76.90119171,77.71619415,23.0124054,34.02158356,48.04971313,915.5929565,25.03919792,40.63323212,57.15673828,37.57767868,285.8831177,38.42165756
6/05/2014,11.29779816,53.91999817,23.3663311,75.59905243,76.54206848,22.54554367,33.52334976,47.83815765,915.7682495,24.92291832,40.56919479,56.95422745,37.10337067,284.7707214,37.76910782
7/05/2014,11.39777756,52.86999893,22.91401672,74.98919678,76.65949249,22.54554367,33.86143875,48.29653549,924.5350342,25.06826782,40.72470474,57.63968658,36.8975296,285.0302429,37.37391281
8/05/2014,11.27905083,52.75,22.87552261,73.62774658,76.39530182,22.46773529,33.71018982,48.0144577,910.3330078,25.0004406,40.98998642,57.77209473,36.50377274,276.5020142,37.58991241
9/05/2014,11.24155998,53.36999893,22.8370285,74.64638519,76.7671051,22.57472229,34.00378799,47.8822403,906.300293,25.0876503,40.80703735,57.81104279,36.378479,276.019928,38.26081848
12/05/2014,11.27280521,55.11000061,23.02949905,76.45284271,78.71418762,23.05130959,34.64435959,48.19075012,911.5603638,25.58185005,41.48394775,57.99017334,37.43448639,278.6525879,39.00527191
13/05/2014,11.2478075,54.84000015,22.85627174,75.98806763,78.05863953,23.03185844,34.19952011,48.35823822,911.9109497,25.3977375,41.18207932,57.61629868,37.21075439,281.0627747,38.83524323
