Date,BTCUSD,ETHUSD,XRPUSD
18/10/2015,261.6430054,0.517733991,0.00497885
19/10/2015,263.4370117,0.489014,0.0050432
20/10/2015,269.4630127,0.434828997,0.00473107
21/10/2015,266.2720032,0.447329015,0.00469726
22/10/2015,274.0230103,0.567701995,0.00472339
23/10/2015,276.4960022,0.539656997,0.00467681
24/10/2015,281.6539917,0.56358999,0.00466202
25/10/2015,283.6799927,0.616038978,0.00455599
26/10/2015,285.2999878,0.731316984,0.00467483
27/10/2015,293.7879944,0.869641006,0.00464932
28/10/2015,304.6180115,1.00248003,0.00467519
29/10/2015,313.855011,1.206660032,0.00463415
30/10/2015,328.0150146,1.04121995,0.00483902
31/10/2015,314.1659851,0.91662699,0.00468657
1/11/2015,325.4309998,1.055670023,0.00490139
2/11/2015,361.1889954,0.989789009,0.00515612
3/11/2015,403.4169922,1.013360023,0.00538301
4/11/2015,411.5629883,0.899049997,0.00494738
5/11/2015,386.3540039,0.895636976,0.00450572
6/11/2015,374.4700012,0.926032007,0.00456223
7/11/2015,386.4819946,0.927973986,0.00469432
8/11/2015,373.3680115,1.027469993,0.00464663
9/11/2015,380.2569885,0.999278009,0.00460921
10/11/2015,336.8190002,0.934347987,0.00440588
11/11/2015,311.0840149,0.79182899,0.00426376
12/11/2015,338.1520081,0.895711005,0.0045405
13/11/2015,336.7529907,0.904096007,0.00447739
14/11/2015,332.9060059,0.888812006,0.00432753
15/11/2015,320.1659851,0.906368017,0.00416452
16/11/2015,330.7510071,0.928961992,0.00423441
17/11/2015,335.0939941,1.007979989,0.00425038
18/11/2015,334.5899963,0.993318975,0.0042582
19/11/2015,326.1489868,0.955532014,0.00422245
20/11/2015,322.0220032,0.924920022,0.00422705
21/11/2015,326.927002,0.976140022,0.00424521
22/11/2015,324.5360107,0.968017995,0.00426729
23/11/2015,323.04599,0.946968973,0.00428823
24/11/2015,320.04599,0.900191009,0.00424179
25/11/2015,328.2059937,0.863537014,0.00431773
26/11/2015,352.6839905,0.88418299,0.00429121
27/11/2015,358.0419922,0.867950976,0.0042761
28/11/2015,357.381012,0.915702999,0.0042382
29/11/2015,371.2940063,0.878614008,0.00429917
30/11/2015,377.3210144,0.873118997,0.0042011
1/12/2015,362.4880066,0.874800026,0.00409007
2/12/2015,359.1870117,0.821210027,0.00417294
3/12/2015,361.04599,0.812143028,0.00426221
4/12/2015,363.1830139,0.840040982,0.00475444
5/12/2015,388.9490051,0.862438023,0.00530137
6/12/2015,388.7829895,0.835500002,0.00534379
7/12/2015,395.5360107,0.811263978,0.00555994
8/12/2015,415.5629883,0.822117984,0.00677516
9/12/2015,417.5629883,0.792167008,0.00852303
10/12/2015,415.4790039,0.840395987,0.00844415
11/12/2015,451.9379883,0.929762006,0.00844066
12/12/2015,434.9970093,0.976972997,0.0085359
13/12/2015,433.7550049,0.952884018,0.00877901
14/12/2015,444.1820068,0.993022025,0.00761423
15/12/2015,465.3210144,1.014150023,0.00668428
16/12/2015,454.9339905,0.991182029,0.0067552
17/12/2015,456.0780029,0.940701008,0.00669431
18/12/2015,463.6159973,0.920126975,0.00638653
19/12/2015,462.321991,0.908071995,0.00629142
20/12/2015,442.6849976,0.903885007,0.00623524
21/12/2015,438.6390076,0.900771022,0.00626874
22/12/2015,436.571991,0.864202023,0.00619285
23/12/2015,442.401001,0.85807699,0.00602148
24/12/2015,454.9849854,0.863261998,0.00597068
25/12/2015,455.6530151,0.870362997,0.00648652
26/12/2015,417.2739868,0.854602993,0.00617385
27/12/2015,422.822998,0.856365025,0.00634319
28/12/2015,422.2789917,0.845004976,0.00634021
29/12/2015,432.9830017,0.873054028,0.00626433
30/12/2015,426.6199951,0.911957979,0.00618175
31/12/2015,430.5669861,0.933542013,0.00604039
1/01/2016,434.3340149,0.948023975,0.00595503
2/01/2016,433.4379883,0.937124014,0.00606472
