Date,CONS,NGDP,MONEY,PRICE,SHORT,LONG,URATE,WAGE,INVEST
1976-10-01,72212000000.00000,23721000000.000000,40800000000.000000,17.83143719526350,9.34000000000000,10.13000000000000,4.90000000000000,,21362000000.000000
1977-01-01,72104000000.00000,24249000000.000000,42000000000.000000,18.20292547016480,9.32333333333334,10.40000000000000,5.20000000000000,,21141000000.000000
1977-04-01,72830000000.00000,25072000000.000000,42600000000.000000,18.66728581379150,10.91666666666670,10.40666666666670,5.60000000000000,,20825000000.000000
1977-07-01,72993000000.00000,25411000000.000000,43300000000.000000,19.03877408869280,10.68333333333330,10.33333333333330,5.80000000000000,,21482000000.000000
1977-10-01,73053000000.00000,25698000000.000000,44300000000.000000,19.50313443231950,9.92666666666667,9.76666666666666,5.90000000000000,,21161000000.000000
1978-01-01,73318000000.00000,26548000000.000000,45600000000.000000,19.78175063849550,9.69333333333333,9.25333333333333,6.60000000000000,,21701000000.000000
1978-04-01,74925000000.00000,27337000000.000000,46800000000.000000,20.15323891339680,10.69666666666670,9.12333333333333,6.26159096666667,,22530000000.000000
1978-07-01,74759000000.00000,28250000000.000000,48600000000.000000,20.52472718829810,9.75333333333333,9.03333333333333,6.32187646666667,,22989000000.000000
1978-10-01,73989000000.00000,28997000000.000000,49800000000.000000,20.98908753192480,9.23000000000000,8.83000000000000,6.30237150000000,,23810000000.000000
1979-01-01,74786000000.00000,30447000000.000000,51700000000.000000,21.36057580682610,8.75666666666666,9.06666666666667,6.31171303333333,,24201000000.000000
1979-04-01,75121000000.00000,30918000000.000000,53100000000.000000,21.91780821917810,10.40666666666670,9.78333333333333,6.31923536666667,,24367000000.000000
1979-07-01,75230000000.00000,31989000000.000000,54500000000.000000,22.47504063153010,9.83666666666666,10.07000000000000,6.21180896666667,,23803000000.000000
1979-10-01,75542000000.00000,33267000000.000000,56400000000.000000,23.12514511260740,10.09333333333330,10.07666666666670,6.18544713333333,,24433000000.000000
1980-01-01,76482000000.00000,34165000000.000000,58500000000.000000,23.58950545623400,10.52000000000000,10.73333333333330,6.02860026666667,,24645000000.000000
1980-04-01,76735000000.00000,34943000000.000000,60200000000.000000,24.33248200603670,13.64666666666670,11.75666666666670,6.22926666666667,,25225000000.000000
1980-07-01,77319000000.00000,36094000000.000000,62300000000.000000,24.70397028093800,12.29666666666670,11.79333333333330,6.13544253333333,,27033000000.000000
1980-10-01,78056000000.00000,37753000000.000000,64500000000.000000,25.26120269329000,11.64666666666670,12.30666666666670,5.98779236666667,,27214000000.000000
1981-01-01,78449000000.00000,38507000000.000000,66000000000.000000,25.81843510564200,13.53333333333330,13.10000000000000,5.76116103333333,,28086000000.000000
1981-04-01,80011000000.00000,39937000000.000000,68400000000.000000,26.37566751799400,16.18333333333330,13.10000000000000,5.50702373333333,,28319000000.000000
1981-07-01,81914000000.00000,42103000000.000000,70000000000.000000,26.93289993034590,15.48666666666670,14.63333333333330,5.83224693333333,,29496000000.000000
1981-10-01,82134000000.00000,43303000000.000000,71700000000.000000,28.04736475504990,14.95000000000000,15.00000000000000,5.96706560000000,,30192000000.000000
1982-01-01,82748000000.00000,44225000000.000000,73500000000.000000,28.60459716740190,17.40666666666670,15.08333333333330,6.20601790000000,,29950000000.000000
1982-04-01,84554000000.00000,45919000000.000000,76000000000.000000,29.25470164847920,19.47000000000000,16.00000000000000,6.56586580000000,,29039000000.000000
1982-07-01,84370000000.00000,46483000000.000000,77700000000.000000,30.27629440445790,16.64000000000000,16.03333333333330,7.11191576666667,,28220000000.000000
1982-10-01,85170000000.00000,47223000000.000000,80000000000.000000,31.20501509171120,13.82000000000000,14.38333333333330,8.79476950000000,,27387000000.000000
1983-01-01,85187000000.00000,47623000000.000000,83000000000.000000,31.85511957278850,13.22666666666670,13.66666666666670,9.63823283333333,,25893000000.000000
1983-04-01,84610000000.00000,48167000000.000000,85800000000.000000,32.50522405386580,13.43666666666670,13.96666666666670,10.22787823333330,,25937000000.000000
1983-07-01,85233000000.00000,50941000000.000000,88300000000.000000,33.06245646621780,12.00666666666670,14.55000000000000,10.35147433333330,,27053000000.000000
1983-10-01,85326000000.00000,52340000000.000000,91400000000.000000,33.89830508474580,10.12666666666670,13.36666666666670,9.70913493333333,312.393694362018,27798000000.000000
1984-01-01,86408000000.00000,54519000000.000000,94300000000.000000,33.71256094729510,11.85666666666670,13.86666666666670,9.36543830000000,321.113056379822,28252000000.000000
1984-04-01,85927000000.00000,55698000000.000000,96500000000.000000,33.80543301602040,13.49000000000000,13.93333333333330,9.13601690000000,334.041765578635,29792000000.000000
1984-07-01,85089000000.00000,56379000000.000000,100000000000.000000,34.26979335964710,11.46333333333330,13.01666666666670,8.82083353333333,335.845771513353,29284000000.000000
1984-10-01,85460000000.00000,57315000000.000000,104100000000.000000,34.73415370327370,11.59000000000000,13.28333333333330,8.63346970000000,336.346884272997,30062000000.000000
1985-01-01,87223000000.00000,59469000000.000000,108600000000.000000,35.19851404690040,14.15000000000000,13.53333333333330,8.53599200000000,339.854673590504,32116000000.000000
1985-04-01,88175000000.00000,61778000000.000000,111700000000.000000,36.03436266542840,15.69000000000000,13.75000000000000,8.45125946666667,344.865801186944,32283000000.000000
1985-07-01,90165000000.00000,63249000000.000000,117100000000.000000,36.87021128395640,16.05666666666670,13.71666666666670,8.16799960000000,349.576261127596,33597000000.000000
1985-10-01,91408000000.00000,64495000000.000000,119300000000.000000,37.61318783375900,18.03333333333330,14.81666666666670,7.86277276666667,356.291172106825,32575000000.000000
1986-01-01,90205000000.00000,65698000000.000000,121600000000.000000,38.44903645228700,17.90000000000000,13.46666666666670,7.91296296666667,363.807863501484,32415000000.000000
1986-04-01,92049000000.00000,66875000000.000000,125700000000.000000,39.09914093336430,15.05666666666670,12.61666666666670,7.80205066666667,367.516097922849,32498000000.000000
1986-07-01,92700000000.00000,68131000000.000000,127500000000.000000,40.12073368934290,16.76666666666670,14.05000000000000,8.23396246666666,376.035014836795,31825000000.000000
1986-10-01,92497000000.00000,70408000000.000000,130200000000.000000,41.23519851404690,16.08333333333330,13.53333333333330,8.33183506666666,380.845697329377,33425000000.000000
1987-01-01,92759000000.00000,72171000000.000000,133100000000.000000,42.07104713257490,16.32333333333330,13.75000000000000,8.27902766666666,380.745474777448,32276000000.000000
1987-04-01,93223000000.00000,74888000000.000000,137800000000.000000,42.72115161365220,14.30000000000000,12.95000000000000,8.17226473333334,388.562833827893,34065000000.000000
1987-07-01,94623000000.00000,77321000000.000000,142100000000.000000,43.46412816345480,12.41000000000000,12.80000000000000,7.98387613333333,395.478189910979,33615000000.000000
1987-10-01,95587000000.00000,79647000000.000000,146400000000.000000,44.20710471325750,11.96666666666670,13.26666666666670,7.91572716666667,401.491543026706,35645000000.000000
1988-01-01,96440000000.00000,82521000000.000000,149900000000.000000,44.95008126306010,10.98333333333330,12.20000000000000,7.51920546666667,408.106231454006,36018000000.000000
1988-04-01,96320000000.00000,84559000000.000000,155600000000.000000,45.78592988158810,12.25666666666670,11.91666666666670,7.64085636666667,413.518249258160,36170000000.000000
1988-07-01,97688000000.00000,87584000000.000000,160400000000.000000,46.62177850011610,13.34666666666670,11.90000000000000,6.92425013333333,419.331157270030,36660000000.000000
1988-10-01,99232000000.00000,90421000000.000000,170800000000.000000,47.55049918736940,14.61333333333330,12.40000000000000,6.75460510000000,429.353412462908,38817000000.000000
1989-01-01,101447000000.00000,93070000000.000000,182100000000.000000,48.01485953099600,16.45000000000000,13.53333333333330,6.59405393333333,435.266543026706,40272000000.000000
